"MDC","PDC","CTYPE","HIERAR","CNAME"
"08","8QC","P","35","Reattachment of finger"
"08","8QD","P","03","Multiple major joint proc of lower ext"
"08","8QE","P","01","Therapeu plasmapheresis"
"08","8QF","P","02","Multiple (> 4) wound debridement for MS&CT"
"09","9A","D",,"Skin Ulcer"
"09","9B","D",,"Severe Skin Disorder"
"09","9C","D",,"Moderate Skin Disorder"
"09","9D","D",,"Minor Skin Disorder"
"09","9E","D",,"Malignant Breast Disorder"
"09","9F","D",,"Non-malignant Breast Disorder"
"09","9G","D",,"Cellulitis"
"09","9H","D",,"Trauma to Skin, Subcut Tissue & Breast"
"09","9PA","P","03","Total Mastectomy"
"09","9PB","P","06","Subtotal Mastectomy"
"09","9PC","P","07","Breast Biopsy & Local Excision"
"09","9PD","P","02","Skin Graft &/or Debridement"
"09","9PE","P","13","Perianal & Pilonidal Procedures"
"09","9PF","P","04","Skin, Subcut Tissue & Breast Plastic Proc"
"09","9PG","P","11","Other Skin, Subcut Tissue & Breast Plastic Non-OR Proc"
"09","9PH","P","12","Other Skin, Subcut Tissue & Breast Plastic OR Proc"
"09","9PJ","P","01","Pedicle graft procedures"
"10","10A","D",,"Diabetes with complications"
"10","10B","D",,"Severe metabolic disorders"
"10","10C","D",,"Nutritional & miscellaneous metabolic disorders"
"10","10D","D",,"Inborn errors of metabolism"
"10","10E","D",,"Endocrine disorders"
"10","10F","D",,"Diabetes without complications"
"10","10PA","P","04","Adrenal procedures"
"10","10PB","P","01","Piutitary procedures"
"10","10PC","P","02","Amputation of Lower Limb for Endocrine, Nutrition"
"10","10PD","P","06","Skin Grafts"
"10","10PE","P","03","Procedures for Obesity"
"10","10PF","P","05","Parathyroid procedures"
"10","10PG","P","07","Thyroid procedures"
"10","10PH","P","09","Thyroglossal procedures"
"10","10PJ","P","08","Other Endocrine, Nutrition and Metabolic procedures"
"11","11A","D",,"Chronic renal failure"
"11","11B","D",,"Admit for renal dialysis"
"11","11C","D",,"Kidney and urinary tract neoplasm"
"11","11D","D",,"Kidney and urinary tract infection"
"11","11E","D",,"Urinary stone"
"11","11F","D",,"Kidney and urinary tract signs & symptoms"
"11","11G","D",,"Urethral stricture"
"11","11H","D",,"Other kidney and urinary tract diagnoses"
"11","11J","D",,"Acute renal failure"
"11","11K","D",,"Major kidney Dx"
"11","11PA","P","01","Kidney transplant"
"11","11PB","P","04","Opera insertion peritoneal cath for dialysis"
"11","11PC","P","03","Kidney, ureter and maj bladder proc"
"11","11PD","P","05","Transurethral prostatectomy"
"11","11PE","P","15","Minor bladder procedure"
"11","11PF","P","11","Transurethral proc, exc prostatectomy"
"11","11PG","P","14","Urethral procedure"
"11","11PH","P","10","Other kidney & urinary tract OR proc"
"11","11PJ","P","12","Ureteroscopy"
"11","11PK","P","13","Cystourethroscopy"
"11","11PL","P","02","Therapeu plasmapheresis"
