"code","validcode","todel","desc"
"A418","TRUE",,"Other specified septicaemia"
"A419","TRUE",,"Septicaemia, unspecified"
"A42","FALSE",,"Actinomycosis"
"A420","TRUE",,"Pulmonary actinomycosis"
"A421","TRUE",,"Abdominal actinomycosis"
"A422","TRUE",,"Cervicofacial actinomycosis"
"A427","TRUE",,"Actinomycotic septicaemia"
"A428","TRUE",,"Other forms of actinomycosis"
"A429","TRUE",,"Actinomycosis, unspecified"
"A43","FALSE",,"Nocardiosis"
"A430","TRUE",,"Pulmonary nocardiosis"
"A431","TRUE",,"Cutaneous nocardiosis"
"A438","TRUE",,"Other forms of nocardiosis"
"A439","TRUE",,"Nocardiosis, unspecified"
"A44","FALSE",,"Bartonellosis"
"A440","TRUE",,"Systemic bartonellosis"
"A441","TRUE",,"Cutaneous and mucocutaneous bartonellosis"
"A448","TRUE",,"Other forms of bartonellosis"
"A449","TRUE",,"Bartonellosis, unspecified"
"A46","TRUE",,"Erysipelas"
"A48","FALSE",,"Other bacterial diseases, not elsewhere classified"
"A480","TRUE",,"Gas gangrene"
"A481","TRUE",,"Legionnaires' disease"
"A482","TRUE",,"Nonpneumonic Legionnaires' disease [Pontiac fever]"
"A483","TRUE",,"Toxic shock syndrome"
"A484","TRUE",,"Brazilian purpuric fever"
"A488","TRUE",,"Other specified bacterial diseases"
"A49","FALSE",,"Bacterial infection of unspecified site"
"A490","TRUE",,"Staphylococcal infection, unspecified"
"A491","TRUE",,"Streptococcal infection, unspecified"
"A492","TRUE",,"Haemophilus influenzae infection, unspecified"
"A493","TRUE",,"Mycoplasma infection, unspecified"
"A498","TRUE",,"Other bacterial infections of unspecified site"
"A499","TRUE",,"Bacterial infection, unspecified"
"A50","FALSE",,"Congenital syphilis"
"A500","TRUE",,"Early congenital syphilis, symptomatic"
"A501","TRUE",,"Early congenital syphilis, latent"
"A502","TRUE",,"Early congenital syphilis, unspecified"
"A503","TRUE",,"Late congenital syphilitic oculopathy"
"A504","TRUE",,"Late congenital neurosyphilis [juvenile neurosyphilis]"
"A505","TRUE",,"Other late congenital syphilis, symptomatic"
"A506","TRUE",,"Late congenital syphilis, latent"
"A507","TRUE",,"Late congenital syphilis, unspecified"
"A509","TRUE",,"Congenital syphilis, unspecified"
"A51","FALSE",,"Early syphilis"
"A510","TRUE",,"Primary genital syphilis"
"A511","TRUE",,"Primary anal syphilis"
"A512","TRUE",,"Primary syphilis of other sites"
"A513","TRUE",,"Secondary syphilis of skin and mucous membranes"
"A514","TRUE",,"Other secondary syphilis"
"A515","TRUE",,"Early syphilis, latent"
"A519","TRUE",,"Early syphilis, unspecified"
"A52","FALSE",,"Late syphilis"
"A520","TRUE",,"Cardiovascular syphilis"
"A521","TRUE",,"Symptomatic neurosyphilis"
"A522","TRUE",,"Asymptomatic neurosyphilis"
"A523","TRUE",,"Neurosyphilis, unspecified"
"A527","TRUE",,"Other symptomatic late syphilis"
"A528","TRUE",,"Late syphilis, latent"
"A529","TRUE",,"Late syphilis, unspecified"
"A53","FALSE",,"Other and unspecified syphilis"
"A530","TRUE",,"Latent syphilis, unspecified as early or late"
"A539","TRUE",,"Syphilis, unspecified"
"A54","FALSE",,"Gonococcal infection"
"A540","TRUE",,"Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess"
"A541","TRUE",,"Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess"
"A542","TRUE",,"Gonococcal pelviperitonitis and other gonococcal genitourinary infection"
"A543","TRUE",,"Gonococcal infection of eye"
"A544","TRUE",,"Gonococcal infection of musculoskeletal system"
"A545","TRUE",,"Gonococcal pharyngitis"
"A546","TRUE",,"Gonococcal infection of anus and rectum"
"A548","TRUE",,"Other gonococcal infections"
"A549","TRUE",,"Gonococcal infection, unspecified"
"A55","TRUE",,"Chlamydial lymphogranuloma (venereum)"
"A56","FALSE",,"Other sexually transmitted chlamydial diseases"
"A560","TRUE",,"Chlamydial infection of lower genitourinary tract"
"A561","TRUE",,"Chlamydial infection of pelviperitoneum and other genitourinary organs"
"A562","TRUE",,"Chlamydial infection of genitourinary tract, unspecified"
"A563","TRUE",,"Chlamydial infection of anus and rectum"
"A564","TRUE",,"Chlamydial infection of pharynx"
"A568","TRUE",,"Sexually transmitted chlamydial infection of other sites"
"A57","TRUE",,"Chancroid"
"A58","TRUE",,"Granuloma inguinale"
"A59","FALSE",,"Trichomoniasis"
"A590","TRUE",,"Urogenital trichomoniasis"
"A598","TRUE",,"Trichomoniasis of other sites"
"A599","TRUE",,"Trichomoniasis, unspecified"
"A60","FALSE",,"Anogenital herpesviral [herpes simplex] infections"
"A600","TRUE",,"Herpesviral infection of genitalia and urogenital tract"
"A601","TRUE",,"Herpesviral infection of perianal skin and rectum"
"A609","TRUE",,"Anogenital herpesviral infection, unspecified"
"A63","FALSE",,"Other predominantly sexually transmitted diseases, not elsewhere classified"
"A630","TRUE",,"Anogenital (venereal) warts"
"A638","TRUE",,"Other specified predominantly sexually transmitted diseases"
"A64","TRUE",,"Unspecified sexually transmitted disease"
"A65","TRUE",,"Nonvenereal syphilis"
"A66","FALSE",,"Yaws"
"A660","TRUE",,"Initial lesions of yaws"
"A661","TRUE",,"Multiple papillomata and wet crab yaws"
"A662","TRUE",,"Other early skin lesions of yaws"
"A663","TRUE",,"Hyperkeratosis of yaws"
"A664","TRUE",,"Gummata and ulcers of yaws"
"A665","TRUE",,"Gangosa"
"A666","TRUE",,"Bone and joint lesions of yaws"
"A667","TRUE",,"Other manifestations of yaws"
"A668","TRUE",,"Latent yaws"
"A669","TRUE",,"Yaws, unspecified"
"A67","FALSE",,"Pinta [carate]"
"A670","TRUE",,"Primary lesions of pinta"
"A671","TRUE",,"Intermediate lesions of pinta"
"A672","TRUE",,"Late lesions of pinta"
"A673","TRUE",,"Mixed lesions of pinta"
"A679","TRUE",,"Pinta, unspecified"
"A68","FALSE",,"Relapsing fevers"
"A680","TRUE",,"Louse-borne relapsing fever"
